file,signal_col,snr_db,avg_amp_uV,avg_latency_ms,n_peaks,n_hotspots
Appendix1,2,8.266498008116429,8.544342702225078,46.69230769230769,13,10
Appendix1,3,10.010681175179917,8.921683728747578,50.85,10,10
Appendix1,4,7.026574269705269,7.795312521139265,57.03846153846154,13,10
Appendix1,5,7.920010195213912,5.7145964978178245,44.81818181818182,12,10
Appendix1,6,7.9177963442076305,6.375001153716349,52.72727272727273,11,10
Appendix1,7,6.279024485484649,5.581222921517244,44.892857142857146,14,10
Appendix1,8,7.595641444639995,6.13086525703012,46.0,13,10
Appendix1,9,8.262288858637685,8.063072384399952,56.27272727272727,11,10
Appendix1,10,8.131466495641549,5.601494482362087,45.388888888888886,10,10
Appendix1,11,8.204485430300865,5.533449315762606,55.27777777777778,9,10
